data_inversa;horario;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;latitude;longitude
31/07/2026;02:00:00;CAMPO LARGO;Deficiência do Sistema de Iluminação/Sinalização;Incêndio;Sem Vítimas;Plena Noite;Decrescente;Nublado;Dupla;"Reta;Declive";-25,44182575;-49,44775198
31/07/2026;10:37:00;TERESINA;Demais falhas na via;Colisão com objeto;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;-5,08084534;-42,78022528
31/07/2026;14:45:00;LAGUNA;Velocidade Incompatível;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;"Reta;Ponte";-28,43682518;-48,83825652
31/07/2026;16:50:00;CARAZINHO;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-28,27786;-52,6926
31/07/2026;15:40:00;PEDRA PRETA;Ultrapassagem Indevida;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-16,62747651;-54,44556856
31/07/2026;09:30:00;PACAJA;Velocidade Incompatível;Tombamento;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Simples;"Declive;Curva";-3,84728;-50,52085
31/07/2026;06:10:00;CARUARU;Acesso irregular;Colisão lateral sentido oposto;Com Vítimas Feridas;Amanhecer;Crescente;Céu Claro;Dupla;"Interseção de Vias;Viaduto";-8,30892;-36,02667
31/07/2026;03:30:00;ACRELANDIA;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-9,8890043;-66,9345176
31/07/2026;10:00:00;ARIQUEMES;Ultrapassagem Indevida;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Em Obras";-9,807647;-63,080512
31/07/2026;11:37:00;TERESOPOLIS;Velocidade Incompatível;Engavetamento;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-22,392272;-42,952614
31/07/2026;02:18:00;JABOATAO DOS GUARARAPES;Velocidade Incompatível;Saída de leito carroçável;Sem Vítimas;Plena Noite;Decrescente;Nublado;Dupla;Reta;-8,17801;-34,94957
31/07/2026;03:00:00;ANAPOLIS;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;-16,2847633;-48,95003
31/07/2026;03:00:00;XAMBIOA;Pista esburacada;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;"Reta;Em Obras";-6,44651;-48,515328
31/07/2026;04:00:00;COLORADO;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Ponte;-28,35425388;-52,95062542
31/07/2026;06:25:00;FOZ DO IGUACU;Acumulo de areia ou detritos sobre o pavimento;Tombamento;Com Vítimas Feridas;Amanhecer;Crescente;Céu Claro;Dupla;Curva;-25,57683052;-54,55455422
31/07/2026;05:30:00;XAPURI;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Simples;Reta;-10,6702;-68,28842
31/07/2026;07:40:00;BELO HORIZONTE;Conversão proibida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;-19,84069962;-43,87508934
31/07/2026;05:00:00;ALEM PARAIBA;Velocidade Incompatível;Colisão com objeto;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;"Curva;Declive";-21,84978848;-42,6668644
31/07/2026;08:40:00;PARACATU;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-17,24031813;-46,81525318
31/07/2026;10:30:00;POUSO NOVO;Afundamento ou ondulação no pavimento;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;-29,11696227;-52,24355221
31/07/2026;12:00:00;SAO SEPE;Acumulo de areia ou detritos sobre o pavimento;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Curva;-30,36167314;-53,5224781
31/07/2026;11:18:00;JI-PARANA;Ultrapassagem Indevida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;"Interseção de Vias;Reta";-10,88474;-61,936313
31/07/2026;16:15:00;GUARAPUAVA;Acesso irregular;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-25,343543;-51,218113
31/07/2026;15:25:00;DOM AQUINO;Fumaça;Incêndio;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-15,51158488;-54,6588564
31/07/2026;19:15:00;SAO GONCALO DO AMARANTE;Ultrapassagem Indevida;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Declive;-5,744629;-35,337202
31/07/2026;19:15:00;BRASILIA;Acesso irregular;Colisão transversal;Com Vítimas Feridas;Plena Noite;Não Informado;Céu Claro;Múltipla;"Interseção de Vias;Reta;Retorno Regulamentado";-15,8728904;-48,02919
31/07/2026;08:45:00;PICOS;Retorno proibido;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-7,08153102;-41,45482628
31/07/2026;19:20:00;ALVORADA DO NORTE;Afundamento ou ondulação no pavimento;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Em Obras";-14,491287;-46,503882
31/07/2026;21:00:00;UBERABA;Ultrapassagem Indevida;Saída de leito carroçável;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-19,738107;-47,751806
31/07/2026;09:45:00;IRINEOPOLIS;Conversão proibida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;-26,26380891;-50,71429107
31/07/2026;18:30:00;CAMPOS DE JULIO;Ultrapassagem Indevida;Colisão lateral sentido oposto;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;Reta;-13,6477433;-59,1480983
31/07/2026;15:20:00;EUNAPOLIS;Ultrapassagem Indevida;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-16,201394;-39,605445
31/07/2026;05:00:00;FEIRA DE SANTANA;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Amanhecer;Decrescente;Ignorado;Simples;Reta;-12,25955;-38,932363
30/07/2026;05:05:00;LUZIANIA;Retorno proibido;Colisão transversal;Com Vítimas Fatais;Amanhecer;Crescente;Céu Claro;Dupla;Reta;-16,2221;-47,915
30/07/2026;08:00:00;CARMO DA CACHOEIRA;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Declive;Retorno Regulamentado";-21,48454863;-45,20489629
30/07/2026;02:50:00;BARRA MANSA;Neblina;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Nevoeiro/Neblina;Múltipla;Curva;-22,56926454;-44,12011933
30/07/2026;12:20:00;MORRETES;Velocidade Incompatível;Tombamento;Com Vítimas Fatais;Pleno dia;Decrescente;Garoa/Chuvisco;Dupla;"Curva;Declive";-25,58181069;-48,87781844
30/07/2026;12:40:00;VOLTA REDONDA;Retorno proibido;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Interseção de Vias;-22,48212064;-44,06312434
30/07/2026;15:20:00;LUZ;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-19,77439513;-45,76066844
30/07/2026;14:10:00;VASSOURAS;Ultrapassagem Indevida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Curva;Declive";-22,43163;-43,739375
30/07/2026;15:15:00;JOACABA;Ultrapassagem Indevida;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Reta;Aclive";-27,12333;-51,631384
30/07/2026;21:20:00;CAMPINA GRANDE DO SUL;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Dupla;Reta;-25,07718382;-48,59488964
30/07/2026;15:22:00;CLAUDIA;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;"Reta;Declive";-11,260147;-55,3110136
30/07/2026;22:50:00;SANTAREM;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-2,63554107;-54,75126442
30/07/2026;02:15:00;ARIQUEMES;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-9,976627;-63,130837
30/07/2026;06:01:00;MOSSORO;Acesso irregular;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Retorno Regulamentado";-5,07875071;-37,33291933
30/07/2026;06:30:00;BEZERROS;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-8,25501774;-35,77289414
30/07/2026;06:50:00;RIO BRANCO;Conversão proibida;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-10,01196;-67,76734
30/07/2026;10:00:00;ANAPOLIS;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Curva;Declive";-16,2900939;-48,9365541
30/07/2026;10:15:00;PIMENTA BUENO;Ultrapassagem Indevida;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Simples;"Reta;Aclive";-11,934788;-60,959738
30/07/2026;09:30:00;PARACATU;Ultrapassagem Indevida;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-17,449582;-46,683072
30/07/2026;09:30:00;PETROPOLIS;Pista Escorregadia;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Curva;Aclive";-22,56991085;-43,25152114
30/07/2026;10:30:00;DUQUE DE CAXIAS;Pista Escorregadia;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Curva;Declive";-22,5717109;-43,2807229
30/07/2026;13:50:00;ARACATI;Acesso irregular;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Interseção de Vias";-4,58287852;-37,72066802
30/07/2026;15:33:00;CAMPINA GRANDE;Demais falhas na via;Eventos atípicos;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Viaduto;-7,2506538;-35,9367002
30/07/2026;16:45:00;BETIM;Ultrapassagem Indevida;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-19,96906323;-44,18097138
30/07/2026;16:40:00;BRASILIA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Aclive";-15,66881;-47,81435
30/07/2026;17:40:00;RONDONOPOLIS;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Dupla;"Reta;Aclive";-16,4681308;-54,6568141
30/07/2026;19:10:00;BAIXO GUANDU;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;Curva;-19,503253;-40,944056
30/07/2026;17:50:00;LEOPOLDINA;Acesso irregular;Colisão transversal;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;"Interseção de Vias;Reta";-21,51956603;-42,64486726
30/07/2026;19:51:00;TERESINA;Pista Escorregadia;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;"Viaduto;Rotatória";-5,07873;-42,74989
30/07/2026;20:10:00;SABARA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-19,788211;-43,730459
30/07/2026;21:00:00;SAO JOSE DOS CAMPOS;Iluminação deficiente;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Interseção de Vias;-23,2535513;-45,9388981
30/07/2026;20:50:00;BOA VISTA;Acesso irregular;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Ignorado;Simples;Reta;2,486905;-60,891912
30/07/2026;22:35:00;VITORIA DE SANTO ANTAO;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Curva;-8,14352;-35,30927
30/07/2026;23:50:00;ESMERALDAS;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Aclive";-19,72306;-44,15513
30/07/2026;19:08:00;BARRA MANSA;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Retorno Regulamentado;-22,5626364;-44,16031687
30/07/2026;08:15:00;BELEM;Pista Escorregadia;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Curva;-9,597152;-36,470085
29/07/2026;02:10:00;CRISTALINA;Ausência de sinalização;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Interseção de Vias;-16,733787;-47,621668
29/07/2026;01:45:00;INDIANOPOLIS;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;"Interseção de Vias;Retorno Regulamentado";-18,877092;-47,944232
29/07/2026;04:40:00;RANCHO QUEIMADO;Chuva;Colisão frontal;Com Vítimas Fatais;Plena Noite;Decrescente;Chuva;Simples;Curva;-27,690331;-48,992324
29/07/2026;07:40:00;SANTA BARBARA DO LESTE;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Múltipla;Em Obras;-20,000855;-42,140428
29/07/2026;12:00:00;MURIAE;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-21,127438;-42,38326
29/07/2026;10:00:00;MAFRA;Velocidade Incompatível;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;"Curva;Declive";-26,2448;-49,64445
29/07/2026;12:50:00;GUARAI;Acostamento em desnível;Tombamento;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-8,941612;-48,504768
29/07/2026;12:00:00;CANUDOS;Ultrapassagem Indevida;Colisão frontal;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-10,00741311;-39,16084815
29/07/2026;19:45:00;PARACAMBI;Acesso irregular;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;-22,70058383;-43,75545502
29/07/2026;20:30:00;RIO BONITO;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Curva;-22,71211419;-42,61282861
29/07/2026;23:00:00;RIO DAS FLORES;Ultrapassagem Indevida;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Ignorado;Simples;Reta;-22,213055;-43,404121
29/07/2026;07:00:00;SEROPEDICA;Retorno proibido;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-22,71982365;-43,72627258
29/07/2026;07:50:00;LONDRINA;Acesso irregular;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Aclive";-23,2929384;-51,09664885
29/07/2026;08:00:00;SAO CRISTOVAO;Sinalização mal posicionada;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Declive;-10,92878742;-37,18315863
29/07/2026;08:50:00;CASCAVEL;Acesso irregular;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Reta;-24,8632928;-53,3397103
29/07/2026;08:15:00;FLORIANO;Retorno proibido;Colisão transversal;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-6,793338;-43,045783
29/07/2026;09:20:00;SAO FRANCISCO DE GOIAS;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Declive";-15,903208;-49,23053
29/07/2026;10:10:00;MAUA DA SERRA;Pista Escorregadia;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Curva;-23,88503144;-51,23834006
29/07/2026;13:00:00;CANUDOS;Ultrapassagem Indevida;Colisão frontal;Sem Vítimas;Pleno dia;Crescente;Sol;Simples;Reta;-10,00401519;-39,1607666
29/07/2026;13:30:00;BARRA DO TURVO;Chuva;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;-24,92865524;-48,27178075
29/07/2026;06:00:00;ARAGUARI;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Amanhecer;Crescente;Céu Claro;Dupla;"Declive;Curva";-18,76396355;-48,24371338
29/07/2026;14:20:00;PETROLINA;Acesso irregular;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Rotatória;-9,393944;-40,510015
29/07/2026;16:35:00;BRASILIA;Velocidade Incompatível;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Reta;-15,88370972;-48,0658704
29/07/2026;15:10:00;DUQUE DE CAXIAS;Acumulo de areia ou detritos sobre o pavimento;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-22,75331;-43,28727
29/07/2026;16:20:00;ALTAMIRA;Acostamento em desnível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Declive";-3,22219;-52,27465
29/07/2026;18:20:00;CURITIBA;Afundamento ou ondulação no pavimento;Eventos atípicos;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Interseção de Vias;-25,54396126;-49,31203723
29/07/2026;08:40:00;CARATINGA;Conversão proibida;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Interseção de Vias;-19,79771;-42,13832
29/07/2026;19:00:00;CURRAIS NOVOS;Conversão proibida;Colisão frontal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-6,27418823;-36,52370453
29/07/2026;19:15:00;CAMPOS DOS GOYTACAZES;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-21,750212;-41,224815
29/07/2026;21:50:00;NOVA VICOSA;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;"Reta;Declive";-17,854463;-39,801055
29/07/2026;19:40:00;POUSO ALEGRE;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;-22,28230109;-45,89538574
29/07/2026;20:31:00;PARANAIGUARA;Animais na Pista;Incêndio;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-18,910089;-50,689933
29/07/2026;23:50:00;ITABUNA;Animais na Pista;Atropelamento de Animal;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;Reta;-14,82634648;-39,31422886
28/07/2026;03:45:00;LORENA;Ausência de sinalização;Colisão traseira;Com Vítimas Fatais;Amanhecer;Crescente;Nublado;Dupla;Reta;-22,74452265;-45,09338379
28/07/2026;05:55:00;IPIRANGA DO PIAUI;Velocidade Incompatível;Engavetamento;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Simples;Reta;-6,84031;-41,73838
28/07/2026;07:30:00;MARACAJU;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-21,64465233;-55,12089126
28/07/2026;12:03:00;CASCAVEL;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Reta;Em Obras";-4,49696914;-38,36106498
28/07/2026;00:30:00;MIRANDA DO NORTE;Acesso irregular;Colisão frontal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Em Obras;-3,55305299;-44,58276629
28/07/2026;08:10:00;BURITIZEIRO;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-17,713198;-45,41115
28/07/2026;10:30:00;RIO BRANCO;Demais falhas na via;Colisão traseira;Com Vítimas Fatais;Pleno dia;Decrescente;Sol;Dupla;Reta;-10,01536362;-67,84087014
28/07/2026;15:10:00;CATANDUVAS;Ultrapassagem Indevida;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Curva;Declive";-27,08585;-51,6618
28/07/2026;10:00:00;XINGUARA;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-6,55525;-49,42203
28/07/2026;20:41:00;ANGICOS;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-5,687083;-36,416993
28/07/2026;20:00:00;ABADIA DE GOIAS;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;-16,74456577;-49,4181082
28/07/2026;05:23:00;MOSSORO;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-5,23132;-37,33194
28/07/2026;04:50:00;FIGUEIROPOLIS;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;"Desvio Temporário;Curva;Em Obras";-12,1482819;-49,16517941
28/07/2026;06:00:00;ALTOS;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-5,048257;-42,566653
28/07/2026;06:15:00;GASPAR;Velocidade Incompatível;Tombamento;Sem Vítimas;Plena Noite;Decrescente;Nublado;Dupla;Curva;-26,8722021;-49,0151323
28/07/2026;08:05:00;LAGES;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Curva;-27,79476655;-50,36144463
28/07/2026;09:00:00;ANAPOLIS;Pista Escorregadia;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;-16,33937587;-48,92297983
28/07/2026;10:00:00;PANAMBI;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;"Curva;Declive";-28,328008;-53,58743
28/07/2026;11:30:00;CAXIAS DO SUL;Velocidade Incompatível;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Curva;-29,12646;-51,128252
28/07/2026;10:35:00;POMBAL;Retorno proibido;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-6,759017;-37,771525
28/07/2026;14:00:00;WENCESLAU GUIMARAES;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-13,694801;-39,479492
28/07/2026;15:00:00;INDAIAL;Ultrapassagem Indevida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-26,87448255;-49,18608639
28/07/2026;16:00:00;MARTINS SOARES;Acesso irregular;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;-20,26222;-41,8859557
28/07/2026;17:40:00;SAO MIGUEL DOS CAMPOS;Acumulo de areia ou detritos sobre o pavimento;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;-9,77214;-36,10285
28/07/2026;14:50:00;CHAPECO;Condutor usando celular;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Declive";-27,053555;-52,6390186
28/07/2026;05:20:00;SALVADOR;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-12,86335143;-38,42365265
28/07/2026;19:00:00;ITATIRA;Animais na Pista;Atropelamento de Animal;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-4,692143;-39,43629
28/07/2026;18:50:00;UBERABA;Acumulo de areia ou detritos sobre o pavimento;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Reta;Retorno Regulamentado";-19,43973;-48,0649
28/07/2026;12:30:00;SAO SIMAO;Velocidade Incompatível;Colisão com objeto;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-19,03831083;-50,51186292
28/07/2026;18:20:00;FERVEDOURO;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Interseção de Vias;-20,702556;-42,278125
28/07/2026;18:10:00;ARACATI;Animais na Pista;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Interseção de Vias;-4,57463793;-37,76472744
28/07/2026;21:31:00;RIO BRANCO;Acesso irregular;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Rotatória;-9,98691084;-67,84498799
27/07/2026;10:50:00;BRUNOPOLIS;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;-27,319248;-50,766453
27/07/2026;15:16:00;ARUJA;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Múltipla;"Reta;Retorno Regulamentado";-23,40333599;-46,3287878
27/07/2026;15:35:00;COMODORO;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-13,36111;-59,86761
27/07/2026;15:30:00;PROFESSOR JAMIL;Pista Escorregadia;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Aclive;-17,230415;-49,231361
27/07/2026;20:24:00;MIRACATU;Curva acentuada;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Múltipla;Curva;-24,1092;-47,2689
27/07/2026;21:40:00;OLIVEIRA FORTES;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;"Curva;Declive";-21,35941442;-43,57967377
27/07/2026;13:04:00;CAPAO ALTO;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Curva;Aclive";-28,197162;-50,7592322
27/07/2026;04:50:00;IBATIBA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Simples;Curva;-20,27605354;-41,63849062
27/07/2026;06:30:00;ABREU E LIMA;Animais na Pista;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;-7,898569;-34,902402
27/07/2026;07:30:00;IBATIBA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;-20,249;-41,55463
